dataset,criterion,value,comparison,limit,reference,passed
berka,time_action_tv_cost,-0.014366743611702773,<=,0.01,0.13110864322570343,True
berka,gap_tv_cost,-0.015427145111811466,<=,0.01,0.06484515194224291,True
berka,mark_tv_cost,0.02557714922324688,<=,0.01,0.05729883685132176,False
berka,root_tv_cost,0.02557714922324688,<=,0.01,0.05729883685132176,False
berka,amount_ks_cost,-0.042565438933130695,<=,0.01,0.07509372002827258,True
berka,mark_nll_cost,0.004305611217107597,<=,0.02,0.20904988267653835,True
berka,repeat_brier_cost,0.0009224057970601898,<=,0.002,0.034591095951726644,True
berka,amount_log_mae_cost,0.043691395728683524,<=,0.023298513274370342,0.46597026548740683,False
berka,invalid_amount_rate,0.0,<=,0.0,,True
berka,invalid_gap_rate,0.0,<=,0.0,,True
berka,q99_generated_tail_min_ratio,1.0620620176544118,>=,0.5,,True
berka,q99_generated_tail_max_ratio,1.0620620176544118,<=,2.0,,True
berka,q99_root_tail_l1_cost,-0.028261602271374173,<=,0.002,0.030976440089892643,True
berka,q99_teacher_tail_error,0.000905452768128789,<=,0.003929699756649044,0.007859399513298088,True
berka,q999_generated_tail_min_ratio,1.163024774343614,>=,0.5,,True
berka,q999_generated_tail_max_ratio,1.163024774343614,<=,2.0,,True
berka,q999_root_tail_l1_cost,-0.022387016259896,<=,0.0005,0.022663026960339637,True
berka,q999_teacher_tail_error,3.225244608510069e-05,<=,0.00422468555159587,0.00844937110319174,True
berka,amount_relation_gain,0.04250533587482802,>=,0.02,0.16498650107308074,True
sparkov,time_action_tv_cost,-0.014854916126822854,<=,0.01,0.08802876019662811,True
sparkov,gap_tv_cost,-0.01934051947024916,<=,0.01,0.05867377400408888,True
sparkov,mark_tv_cost,0.0034811752928690307,<=,0.01,0.05900089875224643,True
sparkov,root_tv_cost,0.0011998007810294642,<=,0.01,0.02258803129493148,True
sparkov,amount_ks_cost,-0.004354065611429314,<=,0.01,0.037191705638597417,True
sparkov,mark_nll_cost,-0.0015696531665563285,<=,0.02,6.246874806055808,True
sparkov,repeat_brier_cost,-1.1559045855896732e-08,<=,0.002,0.0020300424545202146,True
sparkov,amount_log_mae_cost,0.017595074353601414,<=,0.03732779017378992,0.7465558034757984,True
sparkov,invalid_amount_rate,0.0,<=,0.0,,True
sparkov,invalid_gap_rate,0.0,<=,0.0,,True
sparkov,q99_generated_tail_min_ratio,0.7531366623121699,>=,0.5,,True
sparkov,q99_generated_tail_max_ratio,0.7531366623121699,<=,2.0,,True
sparkov,q99_root_tail_l1_cost,-0.0021038968414406013,<=,0.002,0.005735502721116056,True
sparkov,q99_teacher_tail_error_cost,0.00019740857401220717,<=,0.002,0.0002495182583480936,True
sparkov,q999_generated_tail_min_ratio,1.137804974117586,>=,0.5,,True
sparkov,q999_generated_tail_max_ratio,1.137804974117586,<=,2.0,,True
sparkov,q999_root_tail_l1_cost,-0.00025225790739007,<=,0.0005,0.00043537460406766794,True
sparkov,q999_teacher_tail_error_cost,-0.00036916957946564206,<=,0.0005,0.0004413742998456595,True
sparkov,amount_relation_cost,-0.024132731015066813,<=,0.01,0.08248007607052253,True
